Algoritmo,Modelo,Params,Silhouette,Davies-Bouldin,Calinski-Harabasz
K-Means,KMeans_K3,K=3,0.12439903735305644,2.286966985117585,36.96657239675394
K-Means,KMeans_K4,K=4,0.1245579702226817,2.0822904008347995,37.757523249000805
K-Means,KMeans_K5,K=5,0.14447326965488164,1.8634619643180463,37.549494166866566
DBSCAN,DBSCAN_eps1.5_min5,"eps=1.5, min_samples=5",0.3664860194846781,0.927265274087864,22.723915796684526
DBSCAN,DBSCAN_eps2.0_min5,"eps=2.0, min_samples=5",0.11306406548422858,1.352708027332995,16.897892236953744
DBSCAN,DBSCAN_eps2.5_min3,"eps=2.5, min_samples=3",0.1495612920781528,1.0090337291920775,14.727759410737043
DBSCAN,DBSCAN_eps3.0_min5,"eps=3.0, min_samples=5",0.2135574230836766,1.002210555364444,13.81123595857907
Jerárquico,Hier_ward_K3,"ward, K=3",0.1342471246300568,2.400664890959998,32.3649468520852
Jerárquico,Hier_ward_K4,"ward, K=4",0.11097230501098634,1.9394507348576653,32.02709712110722
Jerárquico,Hier_complete_K3,"complete, K=3",0.15602888531343645,2.5450986342722954,13.080153621450894
Jerárquico,Hier_complete_K4,"complete, K=4",0.1287190208896583,1.8606790517413332,19.02095065429958
Jerárquico,Hier_average_K3,"average, K=3",0.40501321885554215,0.42616321297243637,5.130090680793454
Jerárquico,Hier_average_K4,"average, K=4",0.3208163301608017,0.831413010073962,12.588765954966545
